,LogisticRegression,RandomForestClassifier,XGBClassifier,LightGBM
tenure,0.43063527212297065,0.9328716279892133,0.07494159632786382,0.8309090909090908
MonthlyCharges,0.9999999999999999,0.37277955697225373,0.017099625452236762,1.0
TotalCharges,0.22395612835865722,0.3648256784083705,0.016102647908868555,0.9272727272727272
Num of Services,0.07028302492029975,0.11096134758582825,0.006431439861399279,0.23454545454545456
gender_Male,0.003916253995590186,0.0,0.0006371297768344303,0.010909090909090908
SeniorCitizen_1,0.032381884796633516,0.01962013592725699,0.00299583143708183,0.13818181818181818
Partner_Yes,0.0,0.021235969227776492,0.0,0.05636363636363636
Dependents_Yes,0.027267192113251466,0.032458831849721245,0.004936705387583951,0.11818181818181818
PhoneService_Yes,0.22981852930614574,0.010702478146138993,0.013083726523182713,0.0
MultipleLines_Yes,0.008542384147715045,0.012824983253209911,0.003767929901719442,0.11636363636363636
InternetService_Fiber optic,0.14733608045978183,0.7708406520824471,0.2796393162180857,0.17090909090909093
InternetService_No,0.1327836486068666,0.3091307015223982,0.10663616708378834,0.2018181818181818
OnlineSecurity_Yes,0.0865521461885596,0.08243199621345558,0.021658452841378364,0.1690909090909091
OnlineBackup_Yes,0.05673525394296108,0.008887933682607254,0.008081238858938886,0.05454545454545455
DeviceProtection_Yes,0.05119481825261708,0.007543200106659262,0.002739201891134968,0.07090909090909091
TechSupport_Yes,0.08399869296346238,0.06781694311240746,0.012792091366015994,0.16545454545454547
StreamingTV_Yes,0.04964413881671202,0.01468013083122861,0.01548066390825295,0.08545454545454545
StreamingMovies_Yes,0.06448378088678232,0.013032251604238012,0.031704206268236876,0.08363636363636363
Contract_One year,0.10573776205150061,0.24355325366412386,0.2392462187825313,0.11999999999999998
Contract_Two year,0.20963676351755597,1.0,1.0,0.10181818181818181
PaperlessBilling_Yes,0.059189884939140944,0.06637548023266188,0.006166122382591864,0.2290909090909091
PaymentMethod_Credit card (automatic),0.009683846956578646,0.00895334450271699,0.0004014792823731697,0.05636363636363636
PaymentMethod_Electronic check,0.06563916491860668,0.41454109280541995,0.05958061587610609,0.21636363636363637
PaymentMethod_Mailed check,0.019003090932536933,0.01566870244223403,0.0015749223419901717,0.04363636363636364
LoyalCustomer_Yes,0.007270148387544927,0.5015028640340448,0.22821270376742572,0.05636363636363636
